"Tree","Transition","Observed","CI_Lower","CI_Upper","Significance"
"Tree_15","wastewater_to_clinics",313,327,363.025,"Below 95% CI"
"Tree_15","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_15","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_15","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_15","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_15","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_15","clinics_to_wastewater",312,327,364,"Below 95% CI"
"Tree_15","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_15","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_15","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_15","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_15","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_15","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_15","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_16","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_16","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_16","wastewater_to_clinics",307,328,362.025,"Below 95% CI"
"Tree_16","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_16","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_16","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_16","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_16","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_16","clinics_to_wastewater",306,327.975,363,"Below 95% CI"
"Tree_16","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_16","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_16","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_16","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_16","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_16","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_16","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_17","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_17","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_17","wastewater_to_clinics",298,327,363,"Below 95% CI"
"Tree_17","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_17","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_17","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_17","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_17","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_17","clinics_to_wastewater",297,327,363,"Below 95% CI"
"Tree_17","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_17","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_17","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_17","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_17","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_17","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_17","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_18","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_18","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_18","wastewater_to_clinics",303,326,364,"Below 95% CI"
"Tree_18","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_18","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_18","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_18","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_18","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_18","clinics_to_wastewater",302,326.975,364,"Below 95% CI"
"Tree_18","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_18","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_18","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_18","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_18","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_18","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_18","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_19","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_19","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_19","wastewater_to_clinics",311,326,363.025,"Below 95% CI"
"Tree_19","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_19","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_19","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_19","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_19","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_19","clinics_to_wastewater",310,327,363.025,"Below 95% CI"
"Tree_19","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_19","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_19","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_19","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_19","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_19","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_19","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_20","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_20","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_20","wastewater_to_clinics",298,327.975,363,"Below 95% CI"
"Tree_20","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_20","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_20","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_20","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_20","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_20","clinics_to_wastewater",297,327,363,"Below 95% CI"
"Tree_20","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_20","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_20","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_20","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_20","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_20","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_20","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_21","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_21","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_21","wastewater_to_clinics",304,327,363,"Below 95% CI"
"Tree_21","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_21","clinics_to_livestock",0,0,0,"Within 95% CI"
"Tree_21","livestock_to_livestock",0,0,0,"Within 95% CI"
"Tree_21","wastewater_to_livestock",0,0,0,"Within 95% CI"
"Tree_21","wildlife_to_livestock",0,0,0,"Within 95% CI"
"Tree_21","clinics_to_wastewater",303,327,363,"Below 95% CI"
"Tree_21","livestock_to_wastewater",0,0,0,"Within 95% CI"
"Tree_21","wastewater_to_wastewater",0,0,0,"Within 95% CI"
"Tree_21","wildlife_to_wastewater",0,0,0,"Within 95% CI"
"Tree_21","clinics_to_wildlife",0,0,0,"Within 95% CI"
"Tree_21","livestock_to_wildlife",0,0,0,"Within 95% CI"
"Tree_21","wastewater_to_wildlife",0,0,0,"Within 95% CI"
"Tree_21","wildlife_to_wildlife",0,0,0,"Within 95% CI"
"Tree_22","clinics_to_clinics",0,0,0,"Within 95% CI"
"Tree_22","livestock_to_clinics",0,0,0,"Within 95% CI"
"Tree_22","wastewater_to_clinics",299,327,364,"Below 95% CI"
"Tree_22","wildlife_to_clinics",0,0,0,"Within 95% CI"
"Tree_22","clinics_to_livestock",0,0,0,"Within 95% CI"
